項目	類別	條件名稱 / 指標	定義說明	計算方式 / 觀測數據	參數調整建議 (Optimization)	專業備註 (Pro Tips)
1	動能與趨勢 (Trend)	均線系統 (SMA/EMA)	判斷市場長短期的平均成本方向。	過去 N 天收盤價的算術或加權平均。	短線：5, 20；中長線：50, 120, 200。	均線「黃金交叉」常有延遲，建議搭配斜率使用。
2	動能與趨勢 (Trend)	ADX (趨勢強度)	衡量趨勢的強度，而非方向。	基於 $DI+$ 與 $DI-$ 的差值計算。	通常設為 14。ADX > 25 代表趨勢啟動，< 20 代表震盪。	避免在 ADX 低時使用趨勢策略，否則會被雙向洗盤。
3	均值回歸 (Reversion)	RSI (相對強弱指標)	衡量價格漲跌的速度與變化，判斷是否超買或超賣。	0-100 的數值，反映一段時間內上漲與下跌的比例。	區間：10-20。超賣界限通常設為 20-30，超買設為 70-80。	加密貨幣波動大，RSI 常會「鈍化」（在 80 以上待很久）。
4	均值回歸 (Reversion)	乖離率 (Bias)	衡量價格偏離移動平均線的程度。	$(當前價 - 均線價) / 均線價 \times 100\%$。	觀察過去一年該幣種反彈時的乖離率臨界值。	用來抓 BTC 的短線暴跌反彈（抄底）非常有效。
5	波動率 (Volatility)	布林帶 (Bollinger Bands)	根據標準差定義價格的波動範圍。	中軌（均線）$\pm$ N 倍標準差。	週期設 20，標準差設 2。追求極端訊號可設為 3。	「擠壓」 (Squeeze) 狀態是量化交易員最愛的爆發訊號。
6	波動率 (Volatility)	ATR (真實波幅)	衡量市場波動的絕對水平。	考慮跳空後的最高價與最低價差值平均。	通常設 14 或 20 天。	主要用於設定止損（如：止損設在 2 倍 ATR 處）。
7	成交量 (Volume)	爆量突破 (Relative Vol)	驗證價格變動是否有真實資金支持。	當前成交量 / 過去 N 日平均成交量。	倍數區間：1.5x 到 5x。	價格突破但沒爆量，通常是假突破（誘多/誘空）。
8	成交量 (Volume)	OBV (能量潮)	將成交量數量化，觀察資金流向。	漲時加成交量，跌時減成交量。	觀察 OBV 曲線與價格走勢是否「背離」。	OBV 先創新高而價格沒動，通常代表即將補漲。
9	時間週期 (Time)	日內時段效應	利用全球不同金融市場開盤的習性。	將數據按小時 (Hour) 分類統計勝率。	區分「美股時段」、「亞股時段」。	BTC 常在美股開盤前後半小時出現當日最大波動。
10	訂單流 (Order Flow)	累計買賣盤差 (CVD)	追蹤主動買入與主動賣出成交量的差值累積。	$Σ (Market Buy - Market Sell)$ 的累積和。	觀察 CVD 與價格的背離。若價升但 CVD 降，代表上漲乏力。	這是判斷「真假突破」最精準的工具之一。
11	訂單流 (Order Flow)	籌碼控制點 (POC)	一段時間內成交量最集中的價格位階。	計算 Volume Profile 中成交量最高的 Price Level。	通常觀察「日 POC」或「週 POC」。	價格回到 POC 通常有極強支撐或壓力，適合做回撤交易。
